times,lambdas
0.047552,0.229562
0.062623,0.229562
0.079233,0.445061
0.097539,0.445061
0.117716,0.514019
0.139953,0.514019
0.164462,0.724315
0.191473,0.724315
0.221244,1.075506
0.254056,1.075506
0.290218,1.500555
0.330075,1.500555
0.374002,1.714264
0.422416,1.714264
0.475775,1.620262
0.534584,1.620262
0.599400,1.462188
0.670836,1.462188
0.749568,1.417222
0.836342,1.417222
0.931978,1.462431
1.037383,1.462431
1.153554,1.517073
1.281591,1.517073
1.422705,1.560829
1.578232,1.560829
1.749644,1.629322
1.938565,1.629322
2.146781,1.794703
2.376265,1.794703
2.629187,2.279877
2.907943,2.279877
3.215171,3.459071
3.553778,3.459071
3.926970,5.578365
4.338280,5.578365
4.791600,7.709639
5.291222,7.709639
5.841875,8.484475
6.448771,8.484475
7.117654,8.350224
7.854857,8.350224
8.667356,8.260813
9.562842,8.260813
10.549793,8.562244
11.637550,8.562244
12.836409,9.052001
14.157717,9.052001
15.613983,9.225640
17.218989,9.225640
18.987929,7.051570
20.937547,7.051570
23.086296,7.051570
25.454515,7.051570
