times,lambdas
0.000000,251147.889210
0.005311,0.375219
0.010905,0.145149
0.016796,0.199625
0.022999,0.161737
0.029532,0.131375
0.036412,0.135744
0.043658,0.175797
0.051288,0.256680
0.059324,0.383225
0.067786,0.553477
0.076698,0.753506
0.086083,0.957062
0.095967,1.137000
0.106376,1.279372
0.117338,1.387236
0.128881,1.478161
0.141038,1.573768
0.153841,1.691936
0.167324,1.838215
0.181522,2.004187
0.196475,2.167039
0.212223,2.298734
0.228806,2.381230
0.246271,2.410955
0.264663,2.394808
0.284032,2.341636
0.304429,2.259752
0.325910,2.156976
0.348532,2.041585
0.372356,1.921608
0.397445,1.804477
0.423867,1.696134
0.451692,1.600052
0.480995,1.518053
0.511854,1.450404
0.544352,1.396659
0.578577,1.356205
0.614619,1.328408
0.652576,1.312780
0.692549,1.308999
0.734645,1.316835
0.778977,1.336115
0.825663,1.366738
0.874829,1.408502
0.926607,1.461211
0.981135,1.524488
1.038559,1.597424
1.099033,1.678860
1.162719,1.766863
1.229788,1.858880
1.300420,1.951914
1.374802,2.042238
1.453136,2.125948
1.535630,2.198907
1.622506,2.278140
1.713996,2.278140
1.810346,2.318763
1.911814,2.318763
2.018670,2.278103
2.131203,2.278103
2.249712,2.169088
2.374516,2.169088
2.505950,2.017910
2.644364,2.017910
2.790129,1.740221
2.943638,1.740221
3.105299,1.740221
3.275548,1.740221
3.454839,1.740221
3.643653,1.415794
3.842495,1.415794
4.051900,1.415794
4.272426,1.415794
4.504666,1.415794
4.749241,1.415794
5.006807,1.415794
5.278053,1.415794
5.563707,1.415794
5.864532,1.415794
6.181336,1.416552
6.514967,1.416552
6.866319,1.416552
7.236333,1.416552
7.625999,1.416552
8.036363,1.416552
8.468523,1.416552
8.923637,1.416552
9.402924,1.416552
9.907669,1.416552
10.439222,1.416552
10.999009,1.416552
11.588529,1.416552
12.209361,1.416552
12.863169,1.416552
