times,lambdas
0.000000,0.102025
0.008759,0.102025
0.018286,0.102025
0.028647,0.102025
0.039916,0.201686
0.052172,0.201686
0.065501,0.190691
0.079999,0.190691
0.095765,0.504010
0.112913,0.504010
0.131563,0.705990
0.151847,0.705990
0.173907,0.982951
0.197900,0.982951
0.223995,1.522196
0.252375,1.522196
0.283241,1.860064
0.316811,1.860064
0.353321,2.020540
0.393029,2.020540
0.436216,2.013325
0.483185,2.013325
0.534269,1.823151
0.589828,1.823151
0.650253,1.845814
0.715971,1.845814
0.787445,1.978178
0.865181,1.978178
0.949725,1.949147
1.041675,1.949147
1.141680,1.869096
1.250444,1.869096
1.368735,1.859103
1.497388,1.859103
1.637311,1.893001
1.789490,1.893001
1.954998,1.856298
2.135005,1.856298
2.330779,1.839868
2.543702,1.839868
2.775275,1.921935
3.027134,1.921935
3.301053,1.956167
3.598966,1.956167
3.922975,1.882378
4.275366,1.882378
4.658624,1.887895
5.075453,1.887895
5.528794,1.922631
6.021845,1.922631
6.558084,1.885424
7.141296,1.885424
7.775593,1.889093
8.465451,1.889093
9.215738,1.932643
10.031745,1.932643
10.919229,1.932643
11.884453,1.932643
12.934224,1.804186
14.075950,1.804186
15.317685,1.804186
16.668188,1.804186
18.136989,1.804186
19.734448,1.804186
